main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,coo_wavelength,coo_bibcode,sp_type,user_specified_id,object_number_id,source_id,teff_pastel,logg_pastel,feh_pastel,n_pastel_measurements
HD 134711,222.64228531046,85.49645400999,0.017,0.0171,90.0,O,2020yCat.1350....0G,F8,Gaia DR3 1727457085066129664,12,3,6483.0,4.44,-0.17,1.0
HD 170905,278.18934913447,-22.137899060860004,0.019,0.0168,90.0,O,2020yCat.1350....0G,K0V,Gaia DR3 4090011426635298688,13,3,5346.0,,,1.0
HD 223691,357.95283407903,-33.45249284551999,0.0148,0.015,90.0,O,2020yCat.1350....0G,G5V,Gaia DR3 2313818699058718208,14,3,5515.0,4.08,-0.17,3.0
HD 185560,296.29287237371,-70.01654095437,0.0347,0.0498,90.0,O,2020yCat.1350....0G,F6V,Gaia DR3 6417553057243290112,15,3,6337.0,,,1.0
HD  25825,61.56719884414,15.69812048525,0.0203,0.0157,90.0,O,2020yCat.1350....0G,G0V,Gaia DR3 45367056650753280  ,16,3,5982.0,4.42,0.1,11.0
HD  77772,136.4623590108,38.43892536476,0.0192,0.0158,90.0,O,2020yCat.1350....0G,F6V,Gaia DR3 719021574535141120 ,17,3,6396.0,,,1.0
HD 109591,189.02743597358,-42.85230095942999,0.0248,0.0231,90.0,O,2020yCat.1350....0G,G5V,Gaia DR3 6145755844441101440,18,3,5763.0,4.275,-0.085,4.0
HD 132130,224.03338473519,43.31780231204001,0.0132,0.0144,90.0,O,2020yCat.1350....0G,G0,Gaia DR3 1585629190413334528,19,3,5378.0,3.94,0.05,5.0
HD 180965,293.17971234851,-81.53052308742,0.0134,0.0154,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 6359764233617410816,20,3,6604.0,,,2.0
HD  84725,146.70790448729,-16.546582016579997,0.018,0.0186,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 5685269001653018368,21,3,6324.5,,,2.0
HD  23041,55.67148733882,21.28165547042,0.0253,0.0171,90.0,O,2020yCat.1350....0G,F8,Gaia DR3 63561740706077056  ,22,3,6367.0,,,2.0
HD  30809,72.84672892968,15.43346484108,0.03,0.0147,90.0,O,2020yCat.1350....0G,F8,Gaia DR3 3404850790083594368,23,3,6374.0,4.285,0.225,4.0
HD 114962,198.53874415128,-14.28211639182,0.0207,0.0151,90.0,O,2020yCat.1350....0G,G1V,Gaia DR3 3608753056789641600,24,3,6095.5,,,2.0
HD    610,2.51857711341,-79.00184654706,0.0202,0.0169,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 4635412796456855424,25,3,6642.0,,,2.0
HD 221156,352.45895894322,-45.89397885461,0.0095,0.0144,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 6528247455519551232,26,3,6673.0,,,2.0
HD  28992,68.64712528208,15.504623029720005,0.0219,0.0127,90.0,O,2020yCat.1350....0G,G1V,Gaia DR3 3312575685471393664,27,3,5864.0,4.4,0.15,13.0
HD 150633,250.45926837158004,13.14883647437,0.0135,0.0118,90.0,O,2020yCat.1350....0G,K0,Gaia DR3 4461045267503021696,28,3,5609.0,4.28,0.11,3.0
HD  69600,123.06688986928002,-71.26613372059,0.015,0.0154,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 5269366221504073088,29,3,6611.0,,,2.0
HD  14516,35.12828979931,-6.3789702557,0.0222,0.0193,90.0,O,2020yCat.1350....0G,F5/6V,Gaia DR3 2487084684870159488,30,3,6503.5,,,2.0
HD 118826,204.89171330569,-15.616081066130002,0.0204,0.0167,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 3605478986040028544,31,3,6143.5,,,2.0
HD 121579,209.21960997844,-27.661822990489995,0.0242,0.0283,90.0,O,2020yCat.1350....0G,F3V,Gaia DR3 6177355018346589696,32,3,6532.0,,,1.0
HD 117858,203.12904957513203,36.03512667833056,0.0106,0.0113,90.0,O,2020yCat.1350....0G,G0,Gaia DR3 1471958448518765696,33,3,5817.5,3.935,-0.56,4.0
HD  88133,152.53198536283,18.18686900182,0.0219,0.0205,90.0,O,2020yCat.1350....0G,G8V,Gaia DR3 623408253837371392 ,34,3,5414.0,3.94,0.31,15.0
HD 221402,353.0185830074,-43.58999201955,0.0186,0.0177,90.0,O,2020yCat.1350....0G,F8/G2,Gaia DR3 6534858166102087040,35,3,5951.0,,,1.0
HD 190542,301.9144542376,-48.65245318272,0.0211,0.0177,90.0,O,2020yCat.1350....0G,F3/5V,Gaia DR3 6667552039706187776,36,3,6725.0,,,1.0
HD   7199,17.696754249910004,-66.18816340323,0.0139,0.0139,90.0,O,2020yCat.1350....0G,K1IV,Gaia DR3 4704957491028733824,37,3,5384.0,4.415,0.37,6.0
HD 193365,305.97591129301,-66.17890593027,0.0076,0.0141,90.0,O,2020yCat.1350....0G,G0V,Gaia DR3 6425860864023661184,38,3,5872.5,,,2.0
HD 178673,287.67424161024,-29.81366963439,0.0222,0.0214,90.0,O,2020yCat.1350....0G,G0V,Gaia DR3 6759168021467638912,39,3,6075.0,,,2.0
HD 145573,243.21081975591,-28.13199980076,0.1361,0.0841,90.0,O,2020yCat.1350....0G,F3V,Gaia DR3 6042173465333496448,40,3,,,,
HD 199903,315.2700572279,-34.9640764542,0.0193,0.0128,90.0,O,2020yCat.1350....0G,G3V,Gaia DR3 6780224734281075072,41,3,5889.0,,,1.0
V* V1309 Tau,63.61356091499,12.43531475009,0.0266,0.0163,90.0,O,2020yCat.1350....0G,G0,Gaia DR3 3304412601908736512,42,3,5798.0,4.47,0.17,14.0
HD 147742,246.10459869608,-22.65487071303,0.0232,0.0131,90.0,O,2020yCat.1350....0G,F6V,Gaia DR3 6051817591054336896,43,3,6308.5,,,2.0
HD 216568,343.63336278422,-41.82877275233,0.0182,0.0181,90.0,O,2020yCat.1350....0G,F3/5V,Gaia DR3 6542969984934147968,44,3,6414.0,,,2.0
HD 190681,301.55176138245,-1.71891234387,0.0186,0.0117,90.0,O,2020yCat.1350....0G,F5V,Gaia DR3 4235683797996186752,45,3,6184.0,4.02,-0.08,5.0
HD 181177,290.90206001652,-63.1919217399,0.0141,0.0149,90.0,O,2020yCat.1350....0G,G2/3V,Gaia DR3 6441658818889259008,46,3,5906.5,,,2.0
HD 217958,346.13696135315,-25.69110964763,0.0254,0.0269,90.0,O,2020yCat.1350....0G,G3V,Gaia DR3 2382836143445759488,47,3,5835.5,4.23,0.24,6.0
HD 206667,326.1866460117199,-42.12956308972,0.0241,0.0191,90.0,O,2020yCat.1350....0G,F8/G0V,Gaia DR3 6566237914427842944,48,3,6219.0,,,2.0
* phi Her,242.19240090854004,44.93490593204,0.4111,0.4383,90.0,O,2020yCat.1350....0G,B9VspHgMn,Gaia DR3 1386158505321789696,49,3,11721.0,3.8,0.2,8.0
* iot Lep,78.07462743943667,-11.86910091103778,0.2058,0.1702,90.0,O,2020yCat.1350....0G,B7.5Vn,Gaia DR3 2989514155341556224,50,3,12618.0,,,3.0
* A Cen,173.69023485487747,-54.26409310423222,0.0952,0.1035,90.0,O,2020yCat.1350....0G,B9V,Gaia DR3 5344985442961439872,1,3,10617.0,,,1.0
*  18 And,354.78471522488,50.47173264877999,0.0403,0.0377,90.0,O,2020yCat.1350....0G,B9Ve,Gaia DR3 1944475838303255424,2,3,10387.0,3.632,,2.0
*  83 Tau,67.65567885132,13.72440231472,0.0704,0.0369,90.0,O,2020yCat.1350....0G,F0IV,Gaia DR3 3307782570688378496,3,3,7635.0,4.07,0.06,1.0
